Model,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC
Random Forest,0.81,0.576,0.789,0.6659,0.8849,0.6957
Logistic Regression,0.7874,0.5357,0.854,0.6584,0.8856,0.6943
